verb,meaning,isRegular,gerund,past_participle,tense_id,yo_s,yo_e,tu_s,tu_e,el_s,el_e,nos_s,nos_e,vos_s,vos_e,ellos_s,ellos_e
hablar,말하다,true,hablando,hablado,pres,habl,o,habl,as,habl,a,habl,amos,habl,áis,habl,an
hablar,말하다,true,hablando,hablado,perf,he ,hablado,has ,hablado,ha ,hablado,hemos ,hablado,habéis ,hablado,han ,hablado
hablar,말하다,true,hablando,hablado,indef,habl,é,habl,aste,habl,ó,habl,amos,habl,asteis,habl,aron
hablar,말하다,true,hablando,hablado,imperf,habl,aba,habl,abas,habl,aba,habl,ábamos,habl,abais,habl,aban
hablar,말하다,true,hablando,hablado,fut,hablar,é,hablar,ás,hablar,á,hablar,emos,hablar,éis,hablar,án
hablar,말하다,true,hablando,hablado,cond,hablar,ía,hablar,ía,hablar,ía,hablar,íamos,hablar,íais,hablar,ían
hablar,말하다,true,hablando,hablado,subj_pres,habl,e,habl,es,habl,e,habl,emos,habl,éis,habl,en
hablar,말하다,true,hablando,hablado,subj_imp,habl,ara,habl,aras,habl,ara,habl,áramos,habl,arais,habl,aran
estudiar,공부하다,true,estudiando,estudiado,pres,estudi,o,estudi,as,estudi,a,estudi,amos,estudi,áis,estudi,an
estudiar,공부하다,true,estudiando,estudiado,perf,he ,estudiado,has ,estudiado,ha ,estudiado,hemos ,estudiado,habéis ,estudiado,han ,estudiado
estudiar,공부하다,true,estudiando,estudiado,indef,estudi,é,estudi,aste,estudi,ó,estudi,amos,estudi,asteis,estudi,aron
estudiar,공부하다,true,estudiando,estudiado,imperf,estudi,aba,estudi,abas,estudi,aba,estudi,ábamos,estudi,abais,estudi,aban
estudiar,공부하다,true,estudiando,estudiado,fut,estudiar,é,estudiar,ás,estudiar,á,estudiar,emos,estudiar,éis,estudiar,án
estudiar,공부하다,true,estudiando,estudiado,cond,estudiar,ía,estudiar,ías,estudiar,ía,estudiar,íamos,estudiar,íais,estudiar,ían
